"gap_id","area_km2","category"
222,0.00783946098190499,"small"
223,0.00760495120493043,"small"
224,0.00759898421687516,"small"
225,0.00758042220703792,"small"
226,0.00757883967876807,"small"
227,0.00756621992851794,"small"
228,0.00751101357471384,"small"
229,0.0073397227070136,"small"
230,0.00730414692320938,"small"
231,0.00723971641008556,"small"
232,0.00721932445789175,"small"
233,0.00719448790651595,"small"
234,0.00716247682758328,"small"
235,0.00714888626953959,"small"
236,0.00708227286526328,"small"
237,0.00705804889788455,"small"
238,0.00701716427256342,"small"
239,0.00695369548782706,"small"
240,0.00682736413790658,"small"
241,0.00675588666853309,"small"
242,0.00636151667767647,"small"
243,0.00625289447056875,"small"
244,0.00606406853134744,"small"
245,0.00595939532040805,"small"
246,0.00592069682139531,"small"
247,0.00586669885784946,"small"
248,0.00586330273373425,"small"
249,0.00575094479656033,"small"
250,0.0057090689677801,"small"
251,0.00540051370535977,"small"
252,0.00538710832064971,"small"
253,0.00529953596875817,"small"
254,0.00508261903820187,"small"
255,0.00508004454997252,"small"
256,0.00498922776196426,"small"
257,0.00493684218003321,"small"
258,0.00492202882566024,"small"
259,0.0048265322933608,"small"
260,0.00481810175804421,"small"
261,0.00481237669309974,"small"
262,0.0046104941472346,"small"
263,0.00455347954178788,"small"
264,0.00453807116277423,"small"
265,0.00434604981689621,"small"
266,0.00418958013656735,"small"
267,0.00411916357319942,"small"
268,0.00404463954000385,"small"
269,0.00397432178403647,"small"
270,0.0038041015614029,"small"
271,0.00357688923361897,"small"
272,0.00351320494437218,"small"
273,0.00350779102813997,"small"
274,0.00344153616243973,"small"
275,0.00318553677670166,"small"
276,0.00308800443860143,"small"
277,0.00301700331789255,"small"
278,0.00300430462065013,"small"
279,0.00298560282433405,"small"
280,0.00290654562418908,"small"
281,0.00289515687763691,"small"
282,0.00289450064079929,"small"
283,0.00285664006635081,"small"
284,0.00285100104875094,"small"
285,0.00278885140946507,"small"
286,0.00271470925094408,"small"
287,0.00270365648100781,"small"
288,0.00266469164524972,"small"
289,0.00263723956240411,"small"
290,0.0026033077570349,"small"
291,0.00254820705682691,"small"
292,0.00253555480917171,"small"
293,0.00243181728552468,"small"
294,0.00240096683658636,"small"
295,0.0023940674084872,"small"
296,0.00227835883181484,"small"
297,0.00221295769261153,"small"
298,0.00219405241198512,"small"
299,0.00216103293418512,"small"
300,0.00214633806222596,"small"
301,0.00211548651580629,"small"
302,0.00210720933102025,"small"
303,0.00208527248320356,"small"
304,0.00206843000593549,"small"
305,0.00202462049833848,"small"
306,0.00202131395855825,"small"
307,0.00202129388067219,"small"
308,0.00201749027719349,"small"
309,0.00199192818915099,"small"
310,0.00197081332813017,"small"
311,0.00190795634131972,"small"
312,0.00185316198125924,"small"
313,0.00184814751896681,"small"
314,0.00176049852964684,"small"
315,0.0016801164400978,"small"
316,0.00165213850531355,"small"
317,0.00164015594442165,"small"
318,0.00161296421376849,"small"
319,0.00156145291423518,"small"
320,0.00155792822481133,"small"
321,0.00152008678811393,"small"
322,0.00151994353172858,"small"
323,0.00150239515053586,"small"
324,0.001484623675704,"small"
325,0.00147783094781265,"small"
326,0.00141155963216722,"small"
327,0.00140644251716323,"small"
328,0.00140440147257736,"small"
329,0.00137430994742177,"small"
330,0.00136798775002733,"small"
331,0.00134097476151586,"small"
332,0.00133743825556338,"small"
333,0.0013283849152294,"small"
334,0.00131615424220636,"small"
335,0.00127799218191765,"small"
336,0.00126043732783268,"small"
337,0.00125797499344032,"small"
338,0.00125420227779809,"small"
339,0.00117498482816666,"small"
340,0.00117334770507365,"small"
341,0.00117194850004255,"small"
342,0.00115222674609581,"small"
343,0.00115206885433092,"small"
344,0.00113486012739129,"small"
345,0.00110263654097915,"small"
346,0.00109208792544575,"small"
347,0.00108917778618145,"small"
348,0.00108881037565402,"small"
349,0.00107263085813692,"small"
350,0.00106694559330121,"small"
351,0.00105619752517028,"small"
352,0.00105405803685996,"small"
353,0.000995586498368531,"small"
354,0.00099395998268202,"small"
355,0.000990200179014588,"small"
356,0.000974867022752762,"small"
357,0.000970474455613177,"small"
358,0.000967431376786903,"small"
359,0.00096392149126064,"small"
360,0.000960335795596824,"small"
361,0.000930774474278092,"small"
362,0.000850023089784198,"small"
363,0.000812042124228436,"small"
364,0.000806176936369971,"small"
365,0.000776513404045254,"small"
366,0.000747137992426753,"small"
367,0.000724380369849503,"small"
368,0.000707313791946508,"small"
369,0.000695029500947334,"small"
370,0.000630042355820537,"small"
371,0.000630041805572808,"small"
372,0.000630036902137101,"small"
373,0.000625941830115393,"small"
374,0.00061271886138618,"small"
375,0.000612093933574855,"small"
376,0.000612093330577016,"small"
377,0.00061152093026042,"small"
378,0.000610525716431439,"small"
379,0.000599052029967308,"small"
380,0.00059820239922544,"small"
381,0.000598066360767581,"small"
382,0.000597944733681157,"small"
383,0.000587376240307698,"small"
384,0.000577651043094695,"small"
385,0.000554094354115427,"small"
